2017-02-01 03:09:56,1,100002,22,MTV,0
2017-02-01 03:10:02,3,100002,22,MTV,NO PICTURE
2017-02-01 03:10:09,1,100002,34,MSNBC,0
2017-02-01 03:10:58,2,100002,34,MSNBC,3
2017-02-01 03:11:18,1,100002,25,TCM,0
2017-02-01 07:16:08,1,100004,35,NBC,0
2017-02-01 07:16:15,1,100004,33,CBS,0
2017-02-09 16:18:18,1,100002,35,NBC,0
2017-02-09 16:18:23,1,100002,33,CBS,0
2017-02-09 16:18:27,1,100002,34,MSNBC,0
2017-02-09 16:18:31,3,100002,34,MSNBC,NO PICTURE
2017-02-09 16:18:34,1,100002,58,ESPN,0
2017-02-09 16:18:39,1,100002,20,NAT GEO,0
2017-02-09 16:18:49,1,100002,20,NAT GEO,0
2017-02-09 16:18:55,1,100002,21,HBO,0
2017-02-09 16:18:59,1,100002,22,MTV,0
2017-02-09 16:19:03,1,100002,25,TCM,0
2017-02-09 16:19:08,1,100002,20,NAT GEO,0
2017-02-09 16:19:11,0,100002,0,OFF,0
2017-02-09 16:29:05,1,100002,20,NAT GEO,0
2017-02-09 16:29:47,1,100002,30,CNN,0
2017-02-09 16:29:51,1,100002,20,NAT GEO,0
2017-02-09 16:33:01,1,100002,20,NAT GEO,0
2017-04-04 02:45:48,1,100002,30,CNN,0
2017-04-05 08:42:01,3,10030,6,ESPN,UNCLEAR
2017-04-05 08:42:04,1,10082,4,CBS,0
2017-04-05 08:42:07,3,10007,3,NBC,UNCLEAR
2017-04-05 08:42:10,3,10095,1,BBC,UNCLEAR
2017-04-05 08:42:13,3,10095,2,CNN,UNCLEAR
2017-04-05 08:42:16,2,10033,1,BBC,2
2017-04-05 08:42:19,1,10005,7,NATGEO,0
2017-04-05 08:42:22,2,10023,9,MTV,1
2017-04-05 08:42:25,1,10066,8,HBO,0
2017-04-05 08:42:28,1,10007,6,ESPN,0
2017-04-05 08:42:31,3,10069,2,CNN,UNCLEAR
2017-04-05 08:42:34,1,10056,1,BBC,0
2017-04-05 08:42:37,2,10017,1,BBC,5
2017-04-05 08:42:40,1,10026,10,TCM,0
2017-04-05 08:42:43,2,10050,10,TCM,4
2017-04-05 08:42:46,3,10094,5,MSNBC,UNCLEAR
2017-04-05 08:42:49,3,10024,9,MTV,UNCLEAR
2017-04-05 08:42:52,1,10070,7,NATGEO,0
2017-04-05 08:42:55,1,10055,4,CBS,0
2017-04-05 08:42:58,3,10057,9,MTV,UNCLEAR
2017-04-05 08:43:01,3,10069,7,NATGEO,UNCLEAR
2017-04-05 08:43:04,3,10048,8,HBO,UNCLEAR
2017-04-05 08:43:07,2,10095,6,ESPN,3
2017-04-05 08:43:10,2,10080,7,NATGEO,3
2017-04-05 08:43:13,3,10088,1,BBC,UNCLEAR
2017-04-05 08:43:16,3,10063,1,BBC,UNCLEAR
2017-04-05 08:43:19,1,10063,2,CNN,0
2017-04-05 17:00:50,1,10001,1,BBC,0
2017-04-05 17:00:51,2,10004,4,CBS,5
2017-04-05 17:00:52,3,10002,2,CNN,UNCLEAR
2017-04-05 17:00:53,2,10002,2,CNN,1
2017-04-05 17:00:54,3,10004,5,MSNBC,UNCLEAR
2017-04-05 17:00:55,1,10002,5,MSNBC,0
2017-04-05 17:00:56,2,10003,2,CNN,3
2017-04-05 17:00:57,3,10003,4,CBS,UNCLEAR
2017-04-05 17:00:58,2,10004,4,CBS,4
2017-04-05 17:00:59,2,10002,2,CNN,5
2017-04-05 17:01:00,2,10005,4,CBS,1
2017-04-05 17:01:01,1,10004,5,MSNBC,0
2017-04-05 17:01:02,2,10003,3,NBC,4
